# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 104
1 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1 frame_0000.jpg

2 0.9998406203 0.0020520708 0.0175292670 0.0026921725 -0.0003821574 -0.0001626859 -0.0219115644 1 frame_0001.jpg

3 0.9988543450 0.0030921788 0.0477537313 0.0001307473 -0.0042250868 -0.0004395607 -0.0650303134 1 frame_0002.jpg

4 0.9989321113 0.0052421899 0.0458080326 -0.0029632127 -0.0053943684 -0.0004888297 -0.1078121183 1 frame_0003.jpg

5 0.9998258563 0.0025376464 -0.0182506199 0.0029550411 0.0092623085 -0.0014467670 -0.1515598973 1 frame_0004.jpg

6 0.9979035409 0.0055137792 -0.0644672867 0.0014457345 0.0221328158 -0.0006102462 -0.1941011122 1 frame_0005.jpg

7 0.9967718464 0.0029834906 -0.0802299169 0.0003812948 0.0262517241 -0.0017854247 -0.2363898182 1 frame_0006.jpg

8 0.9972825789 0.0051293441 -0.0733899940 0.0038802521 0.0222010129 -0.0007856154 -0.2801258108 1 frame_0007.jpg

9 0.9976455836 0.0024703406 -0.0685360201 0.0000293662 0.0167066187 -0.0025479970 -0.3226342299 1 frame_0008.jpg

10 0.9987333387 0.0008282342 -0.0502851697 -0.0015600971 0.0027065477 -0.0038276280 -0.3654199059 1 frame_0009.jpg

11 0.9994498285 -0.0007431481 -0.0330816925 0.0022560383 -0.0112460477 -0.0053554389 -0.4079656252 1 frame_0010.jpg

12 0.9997846730 0.0015409239 -0.0204186898 0.0033630799 -0.0232420623 -0.0037116247 -0.4506458026 1 frame_0011.jpg

13 0.9999702517 0.0030604745 -0.0064690130 -0.0028776868 -0.0388669416 -0.0021455910 -0.4936240458 1 frame_0012.jpg

14 0.9999673215 -0.0038380834 0.0069446517 -0.0015482014 -0.0536541306 -0.0093113167 -0.5336287125 1 frame_0013.jpg

15 0.9999971634 0.0023195370 -0.0004548044 0.0002933662 -0.0467994725 -0.0031127718 -0.5788308568 1 frame_0014.jpg

16 0.9988921781 0.0010477637 -0.0470455841 0.0001780370 0.0061825862 -0.0049067150 -0.6230193479 1 frame_0015.jpg

17 0.9982156928 -0.0072874630 -0.0592631905 -0.0004446169 0.0195820889 -0.0156545567 -0.6636775688 1 frame_0016.jpg

18 0.9973284948 -0.0018725712 -0.0729702688 -0.0027761240 0.0365026254 -0.0088058092 -0.7071174919 1 frame_0017.jpg

19 0.9895923679 -0.0042529459 -0.1437630095 0.0045885687 0.1384897627 -0.0124660635 -0.7373865221 1 frame_0018.jpg

20 0.9799950485 -0.0077942666 -0.1988686956 0.0004430315 0.2182844949 -0.0184536396 -0.7602407864 1 frame_0019.jpg

21 0.9741511441 -0.0010511053 -0.2258842542 -0.0021788115 0.2584955873 -0.0084180906 -0.7911736176 1 frame_0020.jpg

22 0.9642645609 0.0005248807 -0.2649386102 0.0010553978 0.3212905548 -0.0054991173 -0.8112153746 1 frame_0021.jpg

23 0.9436325139 -0.0039712059 -0.3309685026 -0.0013260999 0.4296561292 -0.0140525635 -0.8020360812 1 frame_0022.jpg

24 0.9254881824 -0.0032517914 -0.3787616833 -0.0007983445 0.5082319312 -0.0128489191 -0.7979748075 1 frame_0023.jpg

25 0.9121973809 -0.0026309803 -0.4097407048 0.0012534432 0.5601244552 -0.0110378532 -0.8048869623 1 frame_0024.jpg

26 0.8956452488 -0.0031155181 -0.4447333464 0.0047045079 0.6201238498 -0.0108466099 -0.8019941814 1 frame_0025.jpg

27 0.8716787423 -0.0009887167 -0.4900666469 0.0031423434 0.6983836006 -0.0070916754 -0.7782002045 1 frame_0026.jpg

28 0.8368953504 -0.0048398923 -0.5473061852 0.0062199344 0.7961655703 -0.0130952538 -0.7209333244 1 frame_0027.jpg

29 0.8148523156 -0.0016855098 -0.5796552061 0.0035643927 0.8485934888 -0.0076472688 -0.7001915100 1 frame_0028.jpg

30 0.8029138241 -0.0106292488 -0.5959893307 0.0036232455 0.8735624394 -0.0266922202 -0.7066802214 1 frame_0029.jpg

31 0.7976193799 -0.0045429029 -0.6031404771 0.0020619694 0.8846545600 -0.0143355707 -0.7351034495 1 frame_0030.jpg

32 0.7925212240 -0.0041000035 -0.6098211790 0.0033806933 0.8953431173 -0.0128651272 -0.7632168181 1 frame_0031.jpg

33 0.7919781932 -0.0106926127 -0.6104407069 0.0042840247 0.8940011313 -0.0281375814 -0.8032579334 1 frame_0032.jpg

34 0.7893841086 -0.0033285289 -0.6138689096 0.0051586683 0.9002074229 -0.0103845308 -0.8396715412 1 frame_0033.jpg

35 0.7701075700 -0.0073936106 -0.6378423330 0.0060682257 0.9489900802 -0.0195026342 -0.8242376956 1 frame_0034.jpg

36 0.7305141526 -0.0102735081 -0.6828071080 0.0042404060 1.0396202129 -0.0268124967 -0.7467845948 1 frame_0035.jpg

37 0.7137621870 -0.0098829984 -0.7002846411 0.0068766406 1.0734334608 -0.0241773230 -0.7381376362 1 frame_0036.jpg

38 0.7057187031 -0.0079399949 -0.7083936282 0.0087484922 1.0886704463 -0.0181487814 -0.7565227537 1 frame_0037.jpg

39 0.7001502009 -0.0029015632 -0.7139835196 0.0029682985 1.0985380329 -0.0075747692 -0.7835874823 1 frame_0038.jpg

40 0.6999446984 -0.0090865051 -0.7141370705 0.0017604345 1.0958849219 -0.0247799656 -0.8250967148 1 frame_0039.jpg

41 0.7016630855 -0.0091980702 -0.7124456805 -0.0023371614 1.0894276431 -0.0265903065 -0.8734960498 1 frame_0040.jpg

42 0.7018027070 -0.0114148672 -0.7122770349 0.0020215763 1.0873989040 -0.0317707780 -0.9153129929 1 frame_0041.jpg

43 0.6871727326 -0.0071516000 -0.7264501890 0.0035514911 1.1232382936 -0.0191728292 -0.9132595992 1 frame_0042.jpg

44 0.6770942359 -0.0137550393 -0.7357677429 -0.0001521453 1.1442917247 -0.0391725106 -0.9242505591 1 frame_0043.jpg

45 0.6699810216 -0.0111890237 -0.7422793602 0.0046462834 1.1612928535 -0.0305513328 -0.9436857274 1 frame_0044.jpg

46 0.6670786150 -0.0093773107 -0.7449273420 0.0012010879 1.1666024721 -0.0257888544 -0.9786098086 1 frame_0045.jpg

47 0.6640888247 -0.0081013475 -0.7475867197 0.0058734717 1.1733747399 -0.0215182313 -1.0106965312 1 frame_0046.jpg

48 0.6629876592 -0.0053952299 -0.7485573612 0.0089516648 1.1751976943 -0.0130861407 -1.0494506951 1 frame_0047.jpg

49 0.6632722633 -0.0094889963 -0.7482737293 0.0081418442 1.1720553344 -0.0262165044 -1.0922617391 1 frame_0048.jpg

50 0.6701895527 -0.0037605737 -0.7421784690 0.0017151100 1.1495312187 -0.0073068892 -1.1577000586 1 frame_0049.jpg

51 0.6780840783 -0.0032649004 -0.7349768277 -0.0006211445 1.1224751569 -0.0052184943 -1.2253257034 1 frame_0050.jpg

52 0.6858732380 -0.0059530604 -0.7276720329 0.0059895667 1.0944580775 -0.0162613419 -1.2899927347 1 frame_0051.jpg

53 0.6918965176 -0.0054379993 -0.7219710567 0.0027258695 1.0706773288 -0.0134238100 -1.3513424693 1 frame_0052.jpg

54 0.6987212216 -0.0031573573 -0.7153712896 0.0047543180 1.0434035294 -0.0067320762 -1.4139937327 1 frame_0053.jpg

55 0.6762969734 -0.0083770089 -0.7365649553 0.0049291080 1.1277006661 -0.0247713751 -1.3887321259 1 frame_0054.jpg

