# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 36032
1 -1.169655 0.068848 -0.100346 128 128 255 1.0000 1 0
2 -0.134571 -0.072509 -0.423083 128 128 255 1.0000 69 0
3 1.054854 0.051957 1.182196 128 128 255 1.0000 69 0
4 0.936154 -0.709848 1.171430 128 128 255 1.0000 69 0
5 1.376460 -0.646216 1.439547 128 128 255 1.0000 69 0
6 0.951443 -1.130637 1.190458 128 128 255 1.0000 69 0
7 0.114407 -0.093258 -1.507924 128 128 255 1.0000 69 0
8 0.974338 -0.746661 1.464914 128 128 255 1.0000 69 0
9 1.770481 -0.522571 -0.973821 128 128 255 1.0000 69 0
10 1.880977 -0.262090 -0.581844 128 128 255 1.0000 69 0
11 1.531833 -0.756739 -0.528089 128 128 255 1.0000 69 0
12 0.764267 -0.375384 -1.720729 128 128 255 1.0000 69 0
13 1.057872 -0.701180 -0.418318 128 128 255 1.0000 69 0
14 1.773865 -0.539219 -1.026566 128 128 255 1.0000 69 0
15 1.166914 -0.054859 -0.988115 128 128 255 1.0000 69 0
16 1.192471 -0.845385 1.425733 128 128 255 1.0000 69 0
17 1.790872 -0.195582 1.375613 128 128 255 1.0000 69 0
18 1.832244 -0.141775 1.356066 128 128 255 1.0000 69 0
19 1.799203 -0.155497 0.523310 128 128 255 1.0000 69 0
20 0.528554 -1.154633 0.894845 128 128 255 1.0000 9 0
21 -0.529247 -0.608496 -0.137938 128 128 255 1.0000 69 0
22 2.227664 -0.277289 1.287003 128 128 255 1.0000 69 0
23 0.998251 -0.223746 -1.377745 128 128 255 1.0000 69 0
24 2.042492 -0.556541 0.293108 128 128 255 1.0000 69 0
25 0.243216 -0.667639 -0.994382 128 128 255 1.0000 69 0
26 1.502625 -0.221290 -1.222086 128 128 255 1.0000 69 0
27 0.716277 -0.410997 0.870610 128 128 255 1.0000 69 0
28 0.716110 -0.587439 1.529964 128 128 255 1.0000 69 0
29 2.009018 -0.814372 0.437601 128 128 255 1.0000 69 0
30 0.058460 -0.811803 1.007142 128 128 255 1.0000 9 0
31 1.166799 -0.860983 0.311521 128 128 255 1.0000 60 0
32 1.256588 -0.825306 0.733991 128 128 255 1.0000 69 0
33 1.979203 -0.673631 0.039334 128 128 255 1.0000 69 0
34 0.835894 -0.734515 1.495270 128 128 255 1.0000 9 0
35 1.502078 -0.779194 -0.820827 128 128 255 1.0000 69 0
36 -0.334569 0.018725 0.131847 128 128 255 1.0000 1 0
37 0.869977 -0.342276 0.957338 128 128 255 1.0000 69 0
38 1.031761 -0.335288 -1.500168 128 128 255 1.0000 69 0
39 -0.462762 -0.281561 1.118392 128 128 255 1.0000 9 0
40 1.510761 -0.031331 -1.312715 128 128 255 1.0000 69 0
41 0.694484 0.129975 0.715323 128 128 255 1.0000 69 0
42 1.486053 -0.056968 1.316758 128 128 255 1.0000 69 0
43 -0.260520 -0.389202 -1.178693 128 128 255 1.0000 69 0
44 0.941816 -0.219356 -1.362088 128 128 255 1.0000 69 0
45 1.982274 -0.219348 -0.222565 128 128 255 1.0000 69 0
46 0.621569 -0.429080 1.486314 128 128 255 1.0000 9 0
47 1.908369 -0.111949 -0.364277 128 128 255 1.0000 69 0
48 0.719974 -0.334676 0.864054 128 128 255 1.0000 69 0
49 0.823208 -0.575059 1.508193 128 128 255 1.0000 69 0
50 -0.353852 0.028503 0.177123 128 128 255 1.0000 1 0
51 0.396203 -0.137729 1.442245 128 128 255 1.0000 9 0
52 -0.901198 -0.118070 -0.576034 128 128 255 1.0000 9 0
53 0.343580 0.089706 0.223399 128 128 255 1.0000 9 0
54 1.933546 -0.304815 -0.552114 128 128 255 1.0000 69 0
55 1.004524 -0.766789 1.442104 128 128 255 1.0000 69 0
56 1.583113 -0.659852 1.045820 128 128 255 1.0000 70 0
57 1.958900 -0.554037 -0.265326 128 128 255 1.0000 70 0
58 1.477946 -0.505546 1.385780 128 128 255 1.0000 70 0
59 0.762154 -0.631138 1.527721 128 128 255 1.0000 66 0
60 1.796407 -0.498976 -0.713036 128 128 255 1.0000 70 0
61 0.601901 -0.392757 0.254001 128 128 255 1.0000 70 0
62 1.951173 -0.272423 -0.272014 128 128 255 1.0000 70 0
63 1.321284 -0.106413 1.299531 128 128 255 1.0000 70 0
64 1.993621 -0.051755 0.031729 128 128 255 1.0000 70 0
65 1.123921 0.022059 0.779362 128 128 255 1.0000 70 0
66 1.207915 0.021845 0.686548 128 128 255 1.0000 70 0
67 1.730338 0.064914 1.191338 128 128 255 1.0000 70 0
68 1.802713 0.023781 0.593386 128 128 255 1.0000 70 0
69 1.817314 0.074679 0.306581 128 128 255 1.0000 70 0
70 0.294582 -0.611494 0.635872 128 128 255 1.0000 10 0
71 1.627745 -0.819745 0.919336 128 128 255 1.0000 70 0
72 2.087225 -0.411244 0.366492 128 128 255 1.0000 70 0
73 0.842842 -0.644695 0.850381 128 128 255 1.0000 70 0
74 0.720920 -0.650741 0.916040 128 128 255 1.0000 70 0
75 -0.292284 -0.954309 0.993746 128 128 255 1.0000 9 0
76 1.931252 -0.536541 -0.260325 128 128 255 1.0000 70 0
77 1.801333 -0.082856 0.449611 128 128 255 1.0000 70 0
78 1.300300 -0.367113 1.440242 128 128 255 1.0000 70 0
79 1.892482 -0.346063 -0.629500 128 128 255 1.0000 70 0
80 1.960363 -0.208237 -0.178801 128 128 255 1.0000 70 0
81 1.869092 -0.066999 0.616124 128 128 255 1.0000 70 0
82 0.784829 -0.239831 1.503146 128 128 255 1.0000 70 0
83 2.041000 -0.069697 0.098839 128 128 255 1.0000 70 0
84 2.005009 -0.084001 -0.176693 128 128 255 1.0000 70 0
85 1.995284 -0.081674 -0.177128 128 128 255 1.0000 70 0
86 1.134733 -0.062574 1.438258 128 128 255 1.0000 70 0
87 1.383746 -0.027838 1.307942 128 128 255 1.0000 70 0
88 1.806062 -0.007010 0.564259 128 128 255 1.0000 70 0
89 0.350590 -0.714377 -0.172448 128 128 255 1.0000 9 0
