# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1 frame_0000_front.jpg

2 0.7071067812 0.0000000000 0.7071067812 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1 frame_0000_right.jpg

3 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1 frame_0000_back.jpg

4 0.7071067812 0.0000000000 -0.7071067812 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1 frame_0000_left.jpg

5 0.9998406203 0.0020520708 0.0175292670 0.0026921725 -0.0003821574 -0.0001626859 -0.0219115644 1 frame_0001_front.jpg

6 0.6945990192 0.0033546866 0.7193891463 0.0004526202 -0.0003821574 -0.0001626859 -0.0219115644 1 frame_0001_right.jpg

7 -0.0175292670 0.0026921725 0.9998406203 -0.0020520708 -0.0003821574 -0.0001626859 -0.0219115644 1 frame_0001_back.jpg

8 0.7193891463 -0.0004526202 -0.6945990192 0.0033546866 -0.0003821574 -0.0001626859 -0.0219115644 1 frame_0001_left.jpg

9 0.9988543450 0.0030921788 0.0477537313 0.0001307473 -0.0042250868 -0.0004395607 -0.0650303134 1 frame_0002_front.jpg

10 0.6725296935 0.0022789529 0.7400636680 -0.0020940483 -0.0042250868 -0.0004395607 -0.0650303134 1 frame_0002_right.jpg

11 -0.0477537313 0.0001307473 0.9988543450 -0.0030921788 -0.0042250868 -0.0004395607 -0.0650303134 1 frame_0002_back.jpg

12 0.7400636680 0.0020940483 -0.6725296935 0.0022789529 -0.0042250868 -0.0004395607 -0.0650303134 1 frame_0002_left.jpg

13 0.9989321113 0.0052421899 0.0458080326 -0.0029632127 -0.0053943684 -0.0004888297 -0.1078121183 1 frame_0003_front.jpg

14 0.6739604993 0.0016114802 0.7387428403 -0.0058020958 -0.0053943684 -0.0004888297 -0.1078121183 1 frame_0003_right.jpg

15 -0.0458080326 -0.0029632127 0.9989321113 -0.0052421899 -0.0053943684 -0.0004888297 -0.1078121183 1 frame_0003_back.jpg

16 0.7387428403 0.0058020958 -0.6739604993 0.0016114802 -0.0053943684 -0.0004888297 -0.1078121183 1 frame_0003_left.jpg

17 0.9998258563 0.0025376464 -0.0182506199 0.0029550411 0.0092623085 -0.0014467670 -0.1515598973 1 frame_0004_front.jpg

18 0.7198887801 0.0038839166 0.6940785059 0.0002951426 0.0092623085 -0.0014467670 -0.1515598973 1 frame_0004_right.jpg

19 0.0182506199 0.0029550411 0.9998258563 -0.0025376464 0.0092623085 -0.0014467670 -0.1515598973 1 frame_0004_back.jpg

20 0.6940785059 -0.0002951426 -0.7198887801 0.0038839166 0.0092623085 -0.0014467670 -0.1515598973 1 frame_0004_left.jpg

21 0.9979035409 0.0055137792 -0.0644672867 0.0014457345 0.0221328158 -0.0006102462 -0.1941011122 1 frame_0005_front.jpg

22 0.7512096164 0.0049211194 0.6600391052 -0.0028765420 0.0221328158 -0.0006102462 -0.1941011122 1 frame_0005_right.jpg

23 0.0644672867 0.0014457345 0.9979035409 -0.0055137792 0.0221328158 -0.0006102462 -0.1941011122 1 frame_0005_back.jpg

24 0.6600391052 0.0028765420 -0.7512096164 0.0049211194 0.0221328158 -0.0006102462 -0.1941011122 1 frame_0005_left.jpg

